yr,gen,block,plot,row,col,fy
H03,MK21,B2,MK21B2,2,4,5.273563492
H03,MK22,B2,MK22B2,2,23,5.956380952
H03,MK23,B2,MK23B2,2,6,4.028428571
H03,MK24,B2,MK24B2,2,8,20.8260161
H03,MK25,B2,MK25B2,2,24,9.942336646
H03,MK01,B3,MK01B3,3,10,5.366428571
H03,MK02,B3,MK02B3,3,16,11.22962119
H03,MK03,B3,MK03B3,3,11,21.66431455
H03,MK04,B3,MK04B3,3,20,7.952443309
H03,MK05,B3,MK05B3,3,3,17.12968939
H03,MK06,B3,MK06B3,3,14,26.63460502
H03,MK07,B3,MK07B3,3,13,4.00988097
H03,MK08,B3,MK08B3,3,2,24.11154426
H03,MK09,B3,MK09B3,3,1,5.365906479
H03,MK10,B3,MK10B3,3,6,3.218327273
H03,MK11,B3,MK11B3,3,17,3.07648976
H03,MK12,B3,MK12B3,3,9,5.77172037
H03,MK13,B3,MK13B3,3,19,7.47340018
H03,MK14,B3,MK14B3,3,24,13.48257559
H03,MK15,B3,MK15B3,3,4,18.84280199
H03,MK16,B3,MK16B3,3,21,1.785356966
H03,MK17,B3,MK17B3,3,18,1.919756044
H03,MK18,B3,MK18B3,3,12,10.76971781
H03,MK19,B3,MK19B3,3,7,11.20360568
H03,MK20,B3,MK20B3,3,5,15.38707576
H03,MK21,B3,MK21B3,3,15,9.668199735
H03,MK22,B3,MK22B3,3,25,0
H03,MK23,B3,MK23B3,3,23,4.476031746
H03,MK24,B3,MK24B3,3,22,11.90058063
H03,MK25,B3,MK25B3,3,8,17.17312694
H03,MK01,B4,MK01B4,4,7,6.037232143
H03,MK02,B4,MK02B4,4,3,19.86779134
H03,MK03,B4,MK03B4,4,2,14.12890079
H03,MK04,B4,MK04B4,4,23,15.90488661
H03,MK05,B4,MK05B4,4,15,12.59535985
H03,MK06,B4,MK06B4,4,24,19.7463451
H03,MK07,B4,MK07B4,4,16,6.014821456
H03,MK08,B4,MK08B4,4,4,9.10880561
H03,MK09,B4,MK09B4,4,20,12.96760732
H03,MK10,B4,MK10B4,4,21,8.582206061
H03,MK11,B4,MK11B4,4,9,16.92069368
H03,MK12,B4,MK12B4,4,10,9.894377778
H03,MK13,B4,MK13B4,4,11,17.61587185
H03,MK14,B4,MK14B4,4,1,13.24603917
H03,MK15,B4,MK15B4,4,18,7.373270346
H03,MK16,B4,MK16B4,4,6,7.141427866
H03,MK17,B4,MK17B4,4,14,15.35804835
H03,MK18,B4,MK18B4,4,19,1.938549206
